Name,ImageURL,Arrondissement,Price,Rating,NumberReviews,Address,GoogleMapsPlaceID,Score
750g La Table,"https://media.timeout.com/images/102827795/image.jpg",15e,2,4.7,7100,"397 Rue de Vaugirard, Paris",ChIJ-2rO0Wpw5kcRUxkyLZaRCmU,4.679890561
Via Del Gusto,"https://res.cloudinary.com/tf-lab/image/upload/restaurant/68e59c0e-7f5c-45c8-b504-4babbe5226f3/0f30a8b0-082c-4475-b2f0-447bf8c3dc5e.png",15e,2,4.7,2468,"344 Rue de Vaugirard, Paris",ChIJXdM7L2tw5kcRriaeC3a0qos,4.64510829
Le Jéroboam,"https://media-cdn.tripadvisor.com/media/photo-s/1c/0d/63/9a/salle.jpg",14e,2,4.7,1831,"72 Rue Didot, Paris",ChIJwXuqqk1w5kcRsKIDTpgRJzA,4.627976482
Bistrotters,"https://images.squarespace-cdn.com/content/v1/5ed9679213ca2824c2734447/1591388273869-U6GTPKFRL71KD412EI3I/Bistrotter3.jpg",14e,2,4.6,1165,"9 Rue Decrès, Paris",ChIJUWpN50tw5kcRxFHi8fOzbi4,4.508363636
HSP La Table - Huîtres et Saumons de Passy,"https://res.cloudinary.com/tf-lab/image/upload/restaurant/f9aaa592-01f5-4ec3-b8c3-b02b0fe1bff0/a545d73b-3f07-433d-8654-de3d6ba3b1e2.jpg",16e,2,4.8,360,"17 Rue de l'Annonciation, Paris",ChIJ0_xzNQBw5kcRQhkYhT536L0,4.505263158
Matsuyama,"https://res.cloudinary.com/tf-lab/image/upload/restaurant/48344747-7bfa-4df9-a248-a377a8e16af4/48fc7641-99b8-47ec-b1eb-d4f76df512b0.jpg",15e,2,4.6,1052,"155 Rue Lecourbe, Paris",ChIJe5MqGz5w5kcRqmfaXvUvH6s,4.500158479
Le Cambodge 15,"https://rs-menus-api.roocdn.com/images/b14fe953-153a-4952-bc2c-ad6341b96517/image.jpeg?width=1200&height=630&fit=crop",15e,1,4.7,493,"2 Rue Leriche, Paris",ChIJbfCgPmtw5kcRxiIMdRjqefQ,4.490896159
Le Florimond,"https://img.restaurantguru.com/rbb8-food-Le-Florimond-2022-09-8.jpg",7e,3,4.7,490,"19 Avenue de la Motte-Picquet, Paris",ChIJm4eKnydw5kcRFAIQkhhg1Lg,4.49
Il tronchetto da Domenico,"https://media-cdn.tripadvisor.com/media/photo-s/17/b9/78/de/photo1jpg.jpg",15e,2,4.6,843,"22 Rue de Lourmel, Paris",ChIJLwPBTRpw5kcRdTt5xI_Dg_M,4.48034188
New Jawad,"https://storage.googleapis.com/mon-resto-halal/restaurants/3b6ccf21-495f-48d1-a5a8-81b4ff8516a5/thumb@1024_a5f94432-7f9b-4a4f-8fc2-d487a0f99c43.jpg",7e,2,4.5,4838,"12 Avenue Rapp, Paris",ChIJ_Yp3Ot5v5kcRNsdbp3AJ5XY,4.479199683
L'Accolade,"https://media-cdn.tripadvisor.com/media/photo-s/0b/8b/b2/75/salle-de-restaurant.jpg",15e,2,4.7,443,"208 Rue de la Croix Nivert, Paris",ChIJGZhFK21w5kcRd7IPRjt7aYA,4.474885145
L'Abreuvoir,"https://media-cdn.tripadvisor.com/media/photo-s/0e/cc/c1/b7/store.jpg",15e,2,4.5,2885,"24 Rue du Docteur Finlay, Paris",ChIJqfgQWhtw5kcRI20GFmcJZlI,4.466074313
Le CasseNoix,"https://www.lebey.com/sites/default/files/styles/resto/public/la_casse_noix_restaurant_paris.jpg",15e,2,4.6,707,"56 Rue de la Fédération, Paris",ChIJe2R96h5w5kcRAHvnKznzO1w,4.46259542
L'Ogre,"https://media-cdn.tripadvisor.com/media/photo-s/1b/eb/27/4d/photo4jpg.jpg",16e,3,4.6,660,"1 Avenue de Versailles, Paris",ChIJb2F4Fgdw5kcRYMLoPWF_duI,4.455172414
Au bon accueil,"https://media-cdn.tripadvisor.com/media/photo-p/11/f1/45/e7/caption.jpg",7e,2,4.6,644,"14 Rue de Monttessuy, Paris",ChIJVZDyfeBv5kcR9jN7g8cuT5g,4.452459016
Casa Pizza,"https://photo620x400.mnstatic.com/f76c42f0f0da30e9009931b63078b641/casa-pizza.jpg",7e,2,4.7,378,"35 Avenue Duquesne, Paris",ChIJhbH2_iVw5kcR2vAtxXe0YtY,4.45
L'Antre Amis,"https://media-cdn.tripadvisor.com/media/photo-s/03/4f/98/1d/l-antre-amis.jpg",15e,3,4.6,618,"9 Rue Bouchut, Paris",ChIJLXq2ATBw5kcRoqrUsJbvP8w,4.447826087
Auguste,"https://www.bestrestaurantsparis.com/public/images/image_list/c9dd9454a36beea9e01d4e19361f55fe_head_format.jpg",7e,3,4.6,603,"54 Rue de Bourgogne, Paris",ChIJd5iHBSpw5kcR7DW8kyCpX6g,4.44501845
La Regina,"https://img.restaurantguru.com/rba8-interior-La-Regina-2021-09-7.jpg",15e,1,4.8,260,"128 Rue de la Convention, Paris",ChIJux1UUhJw5kcRnPijm5DYGe8,4.442553191
Restaurant Indien VALLÉE DU KASHMIR Paris Montparnasse Végétarien حلالا Halal,"https://www.pagesjaunes.fr/media/agc/46/fb/67/00/00/42/c2/13/a6/71/62a646fb67000042c213a671/62a646fb67000042c213a672.jpg",14e,2,4.5,1489,"10 Rue d'Odessa, Paris",ChIJI3GOaMxx5kcRBcosEiaJw4Y,4.438198941
Afaria,,15e,2,4.6,565,"15 Rue Desnouettes, Paris",ChIJ7eEnvWxw5kcRkqWjeFXm_Hk,4.437419355
L'Astrolabe,,15e,1,4.7,347,"4 Villa de l'Astrolabe, Paris",ChIJ7z9k4jJw5kcRWoLxdGuJxiM,4.436086176
Benkay Teppan-Yaki,,15e,4,4.5,1372,"61 Quai de Grenelle, Paris",ChIJZxFlNARw5kcRQsQt_VTUIuQ,4.433628319
Le Grand Pan,,15e,2,4.6,518,"20 Rue Rosenwald, Paris",ChIJBecyi0Zw5kcR_tvz4xAL8_4,4.426923077
Arti,,15e,2,4.6,506,"173 Rue Lecourbe, Paris",ChIJwQaT7RVw5kcRZpeVT21FJJw,4.424022346
Bobun Moi,,15e,2,4.7,319,"25 Rue de Cronstadt, Paris",ChIJYS12IkFw5kcRps0eGKF5KFg,4.422117202
Pottoka,,15e,3,4.5,1126,"4 Rue de l'Exposition, Paris",ChIJ2-i5dd9v5kcRNU_v3lxE520,4.421407186
L’Ami Jean,,15e,3,4.5,1043,"27 Rue Malar, Paris",ChIJjVT2MNlv5kcR4QtneAsLSdU,4.416201117
Neige d'été,,15e,4,4.6,469,"12 Rue de l'Amiral Roussin, Paris",ChIJj5cSZD1w5kcRxG5lX68BY50,4.41443299
Restaurant L'Escudella Bistronomie Paris 7,,15e,2,4.6,451,"41 Avenue de Ségur, Paris",ChIJ4dWZlCVw5kcRMu9H3OTFKRY,4.409379728
Le Violon d'Ingres,,15e,4,4.5,906,"135 Rue Saint-Dominique, Paris",ChIJ3Z17mN9v5kcR6cy6VWhMWl8,4.405913978
The Counter Rugby Bar,,15e,2,4.5,810,"354 Bis Rue de Vaugirard, Paris",ChIJG7qcP2tw5kcR9wyRJH8t9BQ,4.397058824
Le Volant Basque,,15e,2,4.5,805,"13 Rue Béatrix Dussane, Paris",ChIJRSHAtBtw5kcRXZuOHzJj8a0,4.396551724
6 New-York,,15e,3,4.5,782,"6 Avenue de New York, Paris",ChIJc5Ooeudv5kcRcdi78t9C8CE,4.394153226
Hangang 한강,,15e,2,4.6,401,"59 Avenue Félix Faure, Paris",ChIJIxPsdxJw5kcRR2qByiAdyXU,4.393780687
Auberge Bressane,,15e,3,4.5,743,"16 Avenue de la Motte-Picquet, Paris",ChIJSWR8mydw5kcRQJNKcxOyvn0,4.389821616
La Cagouille,,15e,2,4.5,721,"10 place Constantin-Brancusi, Paris",ChIJl23DU1pu5kcRg1KaCcrIla8,4.387218045
Les Saveurs du Maroc,,15e,1,4.5,721,"51 Rue Rouelle, Paris",ChIJ81Xe-xpw5kcRhDTw7g0vpbc,4.387218045
Le Beurre Noisette,,15e,2,4.5,703,"68 Rue Vasco de Gama, Paris",ChIJ35ar7nJw5kcRR2-Jh-Zj4Bs,4.384994524
Joséphine Chez Dumonet,,15e,3,4.5,695,"117 Rue du Cherche-Midi, Paris",ChIJUa6ZvTJw5kcR3W8PtZgq2A8,4.383977901
Le Récepteur,,15e,2,4.5,652,"3 Avenue Théophile Gautier, Paris",ChIJbSJYv6l65kcR1lZMrhqWBRo,4.378190255
Le Borromée,,15e,2,4.6,357,"224 Rue de Vaugirard, Paris",ChIJLenUQTlw5kcRXKyz1oFaIno,4.377777778
Sushiken,,15e,2,4.6,356,"12 Rue Ernest Renan, Issy-les-Moulineaux",ChIJFy72VHBw5kcRBMSp00n4zEE,4.377385159
Restaurant Gaya,,15e,4,4.6,348,"6 Rue de Saint-Simon, Paris",ChIJHxHFCSpu5kcRJCFKQQug9Fg,4.374193548
Le Concert de Cuisine,,15e,3,4.6,339,"14 Rue Nélaton, Paris",ChIJUSfxTANw5kcRkZfGzxjmOWw,4.370491803
Le Café de Mars,,15e,2,4.5,582,"11 Rue Augereau, Paris",ChIJvZmnht9v5kcRjsZS2q-nAAE,4.367424242
FÉLIX,,15e,2,4.6,330,"79 Avenue de Ségur, Paris",ChIJ1WpfySRw5kcR0drsKOy0E_Y,4.366666667
Restaurant Le 122,,15e,2,4.6,320,"122 Rue de Grenelle, Paris",ChIJO_KweNVv5kcRaoAZrXn42gQ,4.362264151
Settebello,,15e,3,4.7,210,"9 Rue Duban, Paris",ChIJNzSHDwBw5kcRidqYbXaGCAA,4.35
Etincelle,,15e,1,4.6,290,"326 Rue Lecourbe, Paris",ChIJ9fyGNA1w5kcR6UiwLe8k80E,4.348
Yako,,15e,2,4.5,384,"30 Rue du Docteur Finlay, Paris",ChIJ3f8TaBtw5kcREnVNhF-DnvM,4.323232323
Lac Tana,,15e,2,4.5,369,"38 Rue Fondary, Paris",ChIJ4W3d3Rlw5kcR8lbK-XYJWKg,4.31865285
Astrance,,15e,4,4.5,350,"32 Rue de Longchamp, Paris",ChIJ_QxhRv1v5kcRyxeqcySoeBQ,4.3125
Restaurant KB,,15e,2,4.5,347,"111 Rue de la Croix Nivert, Paris",ChIJY91onxZw5kcRxfyH1YhnF5s,4.311490126
Deuz Restaurant,,15e,2,4.5,325,"37 Rue d'Alleray, Paris",ChIJJ5EeqkBw5kcRID8n5cNHnIo,4.303738318
Chez Filiberto,,15e,2,4.6,213,"59 Rue de Boulainvilliers, Paris",ChIJCy3d1Kp65kcRU8rd-TmwthU,4.30212766
L'Authentique,,15e,2,4.5,320,"167 Rue de Vaugirard, Paris",ChIJGdwLbzFw5kcRRZbRcrAHhGc,4.301886792
Itouya,,15e,1,4.6,197,"43 Rue Brancion, Paris",ChIJT1zR3EZw5kcRk0Gsl-OAe2Y,4.29041769
Je Thé... Me,,15e,2,4.5,288,"4 Rue d'Alleray, Paris",ChIJf-NOpD9w5kcRt7Qs2c8uXfo,4.289156627
Champa Lao,,15e,2,4.5,286,"60B Rue Dombasle, Paris",ChIJARX3w0Bw5kcR3CwxAP9O-b0,4.288306452
Restaurant Petrossian,,15e,3,4.5,260,"13 Boulevard de la Tour-Maubourg, Paris",ChIJzc8B79lv5kcRQkV9ksD5Z3o,4.276595745
STEPHANE MARTIN,,15e,2,4.5,241,"67 Rue des Entrepreneurs, Paris",ChIJ1dzlUxBw5kcRsmgU4efjhXQ,4.267184035
LE PETIT VERDOT,,15e,2,4.6,159,"75 Rue du Cherche-Midi, Paris",ChIJD7vH8tJx5kcR5W0eYeNTLnw,4.258536585
La P'tite Table,,15e,2,4.6,150,"8 Avenue de Versailles, Paris",ChIJj2ItaQdw5kcRfuc1PJulQeY,4.25
SIAM CITY,,15e,2,4.5,193,"19 Rue Ferdinand Fabre, Paris",ChIJyWI7XRVw5kcRCMbAxzyqcM8,4.239454094
Le Cabanon de l'Écailler,,15e,2,4.5,180,"14 Place Constantin Brancusi, Paris",ChIJ07rFU1pu5kcRWC7FMx3jPfQ,4.230769231
L'ITALY CAFE,,15e,1,4.5,161,"187 Rue de Vaugirard, Paris",ChIJjzWh3jBw5kcRB9g_EcRUJ5k,4.216981132
